Domain,Federal Agency,Level of Government,Location,Status,Note,Link,Date Added,Sector
ncdentalboard.org,,State Government,North Carolina,accepted term,North Carolina State Board of Dental Examiners -- Note added 9/14/15 20:40,http://ncdentalboard.org/,6/6/13 18:08,north carolina
ncdiabetes.org,,State Government,North Carolina,accepted term,"This site is a tool for North Carolina citizens and providers to reduce the impact of diabetes through leadership, education, communication and community involvement. -- Note added 9/14/15 20:41",http://www.diabetesnc.com/,6/6/13 18:08,north carolina
ncdisasterrelief.org,,State Government,North Carolina,accepted term,"The NC Helping Neighbors Fund is managed by the Governor's Office, in partnership with United Way of North Carolina. Donations are tax deductible; 100% of donated funds will go to the states impacted by Hurricane Sandy. -- Note added 9/14/15 20:48",http://ncdisasterrelief.org/,6/6/13 18:08,governors office
ncdjjdp.org,,State Government,North Carolina,accepted term," Juvenile Justice section of the N.C. Department of Public Safety, Division of Adult Correction and Juvenile Justice.  -- Note added 9/15/15 16:00",https://www.ncdps.gov/index2.cfm?a=000003,6/6/13 18:08,juvenile justice
ncdmf.net,,State Government,,accepted term,"Division of Marine Fisheries, NC DENR -- Note added 11/12/15 14:07",,6/6/13 18:08,division marine
ncdmfstore.net,,State Government,,accepted term,NC Marine Fisheries Commission Store -- Note added 11/12/15 14:39,,6/6/13 18:08,marine fisheries
ncdnpe.org,,State Government,North Carolina,accepted term,NC Division of Non Public Education -- Note added 9/15/15 16:01,http://www.ncdnpe.org/,6/6/13 18:08,nc division
ncdoi.com,,State Government,North Carolina,accepted term,North Carolina Department of Insurance -- Note added 11/19/13 20:06,http://ncdoi.com/,6/6/13 18:08,north carolina
ncdoj.com,,State Government,North Carolina,accepted term,Dept of Justice -- Note added 9/15/15 16:04,http://ncdoj.com/,6/6/13 18:08,justice note
ncdrought.org,,State Government,North Carolina,accepted term,North Carolina Drought Management Advisory Council -- Note added 11/12/15 14:05,http://www.ncdrought.org/index.php,6/6/13 18:08,north carolina
ncdsca.org,,State Government,North Carolina,accepted term,NC DENR's Division of Waste Management -- Note added 11/12/15 13:55,http://ncdsca.org/,6/6/13 18:08,waste management
ncems.org,,State Government,North Carolina,accepted term,The North Carolina Office of EMS -- Note added 9/15/15 16:07,http://www.ncems.org/,6/6/13 18:08,north carolina
ncesf.org,,State Government,North Carolina,accepted term,The North Carolina Forest Service operates a system of six Educational State Forests (ESFs) designed to teach the public - especially school children - about the forest environment. -- Note added 9/15/15 16:34,http://ncesf.org/,6/6/13 18:08,north carolina
ncfacilitymanagement.net,,State Government,North Carolina,accepted term,"Facility Management Division, NC DOA -- Note added 11/12/15 13:45",http://www.ncfacilitymanagement.net/Default.aspx,6/6/13 18:08,management division
ncfarmfresh.com,,State Government,North Carolina,accepted term,"North Carolina Farm Fresh is a directory of pick-your-own farms, roadside farm markets, and farmers markets throughout North Carolina. It is designed to help the consumer, find the freshest locally grown fruits, vegetables, christmas trees, ornamental plants, flowers, and herbs. -- Note added 9/15/15 16:34",http://ncfarmfresh.com/index.asp,6/6/13 18:08,north carolina
ncfarmtoschool.com,,State Government,North Carolina,accepted term,"NC Farm to School program, North Carolina Department of Agriculture and Consumer Services -- Note added 6/12/13 18:34",http://www.ncfarmtoschool.com/,6/6/13 18:08,north carolina
ncfhp.org,,State Government,North Carolina,accepted term,"North Carolina Farmworker Health Program (NCFHP), a statewide Migrant Health Voucher Program within the Office of Rural Health -- Note added 11/12/15 13:44",http://ncfhp.org/,6/6/13 18:08,north carolina
ncfilm.com,,State Government,North Carolina,accepted term,NC Film Office -- Note added 9/15/15 16:35,http://www.filmnc.com/,6/6/13 18:08,film office
ncfirewise.org,,State Government,North Carolina,accepted term,"Firewise North Carolina, North Carolina Forest Service -- Note added 6/12/13 18:15",http://ncfirewise.org/,6/6/13 18:08,carolina forest
ncfisheries.net,,State Government,North Carolina,accepted term,Division of Marine Fisheries  -- Note added 9/15/15 16:36,http://portal.ncdenr.org/web/mf/,6/6/13 18:08,division marine
ncfloodmaps.com,,State Government,North Carolina,accepted term,NC flood risk information system -- Note added 9/15/15 16:37,http://fris.nc.gov/fris/Home.aspx?ST=NC,6/6/13 18:08,system note
ncforeclosurehelp.org,,State Government,North Carolina,accepted term,NC Foreclosure Prevention Fund -- Note added 11/12/15 13:43,http://www.ncforeclosurehelp.org/,6/6/13 18:08,fund note
ncforestactionplan.com,,State Government,North Carolina,accepted term,"North Carolina Forest Action Plan, North Carolina Forest Service -- Note added 11/12/15 13:40",http://www.ncforestactionplan.com/,11/12/15 13:39,north carolina
ncforestassessment.com,,State Government,,accepted term,North Carolina Forest Action Plan See historical snapshot at: http://web.archive.org/web/20140517174935/http://ncforestassessment.com/  -- Note added 11/12/15 13:39,,6/6/13 18:08,north carolina
ncfreshlink.com,,State Government,North Carolina,accepted term,NC Fresh Produce Information site -- Note added 9/15/15 16:37,http://ncfreshlink.com/,6/6/13 18:08,site note
ncgov.com,,State Government,North Carolina,accepted term,State of North Carolina -- Note added 1/14/14 13:05,http://ncgov.com/,6/6/13 18:08,state north
ncgovschool.org,,State Government,North Carolina,accepted term,"Governor's School of North Carolina, NC Department of Public Instruction -- Note added 6/12/13 18:35",http://www.ncgovschool.org/,6/6/13 18:08,north carolina
ncgtp.com,,State Government,North Carolina,accepted term,The North Carolina Global TransPark -- Note added 9/15/15 16:39,http://ncgtp.com/,6/6/13 18:08,north carolina
nchalb.org,,State Government,North Carolina,accepted term,NC hearing Aid Dealers -- Note added 9/15/15 16:39,http://nchalb.org/,6/6/13 18:08,note added
nchan.org,,State Government,North Carolina,accepted term,NC Health & Human Services -- Note added 9/15/15 16:39,http://nchan.org/,6/6/13 18:08,nc health
nchealthyschools.org,,State Government,North Carolina,accepted term,NC Healthy School Website -- Note added 9/15/15 16:41,http://www.nchealthyschools.org/,6/6/13 18:08,website note
nchfa.com,,State Government,North Carolina,accepted term,NC Housing Finance Agency  -- Note added 9/15/15 16:42,http://nchfa.com/,6/6/13 18:08,housing finance
nchilb.com,,State Government,,accepted term,North Carolina Home Inspetor Licensure Board -- Note added 11/20/13 12:38,,6/6/13 18:08,north carolina
nchistoricsites.org,,State Government,North Carolina,accepted term,NC Historic Sites -- Note added 9/15/15 16:42,http://nchistoricsites.org/,6/6/13 18:08,sites note
ncids.org,,State Government,North Carolina,accepted term,Office of Indigent Defense Services  -- Note added 9/15/15 16:43,http://ncids.org/,6/6/13 18:08,services note
ncih.net,,State Government,North Carolina,accepted term,NC International House -- Note added 9/15/15 16:44,http://www.ihclt.org/,6/6/13 18:08,note added
nciom.org,,State Government,North Carolina,accepted term,NC Institute of Medecine -- Note added 9/15/15 16:45,http://www.nciom.org/,6/6/13 18:08,note added
ncitlb.org,,State Government,North Carolina,accepted term,The North Carolina Interpreters & Transliterators Licensing Board -- Note added 9/15/15 16:45,http://ncitlb.org/,6/6/13 18:08,north carolina
ncknows.org,,State Government,North Carolina,accepted term,NCknows is a service that allows North Carolina residents to get help from librarians and use their library resources remotely through a computer. NCknows is a pilot project supported by a grant under the Federally-funded Library Services and Technology Act (LSTA). The project is administered by the State Library of North Carolina in Raleigh with help from a committee of librarians and directors from North Carolina's libraries. -- Note added 11/12/15 13:22,http://ncknows.org/,6/6/13 18:08,north carolina
nclabor.com,,State Government,North Carolina,accepted term,NC Dept of Labor -- Note added 9/15/15 16:45,http://www.nclabor.com/,6/6/13 18:08,nc dept
ncleg.net,,State Government,North Carolina,accepted term,NC Generla Assembly  -- Note added 9/15/15 16:46,http://ncleg.net/,6/6/13 18:08,assembly note
nclicensing.org,,State Government,North Carolina,accepted term,"North Carolina State Board of Examiners of Plumbing, Heating and Fire Sprinkler Contractors -- Note added 9/15/15 16:46",http://nclicensing.org/,6/6/13 18:08,north carolina
nclifetimeincome.org,,State Government,North Carolina,accepted term,NC Lifetime Income - Members of the Teachers' and State Employees' Retirement System (TSERS) and Local Governmental Employees' Retirement System (LGERS) will have a one-time opportunity to transfer all or part of their NC 401(k) and/or NC Deferred Compensation (457) funds to the Retirement System in order to receive lifetime income at or after retirement. -- Note added 11/12/15 13:21,https://www.nclifetimeincome.org/,6/6/13 18:08,lifetime income
nclive.org,,State Government,North Carolina,accepted term,NC Public Library -- Note added 9/15/15 16:47,http://www.nclive.org/,6/6/13 18:08,nc public
nclm.org,,State Government,North Carolina,accepted term,North Carolina League of Municipalities -- Note added 6/6/13 18:08,http://www.nclm.org/Pages/default.aspx,6/6/13 18:08,north carolina
nclmft.org,,State Government,North Carolina,accepted term,the board of Marriage and family therapy of North Carolina -- Note added 9/15/15 16:48,http://www.nclmft.org/,6/6/13 18:08,north carolina
